freq (Hz),dB20(clip(dft((VT("/Out+") - VT("/Out-")) VAR("tstart") (VAR("tstart") + (VAR("M") / VAR("fsamp"))) (VAR("M") * VAR("pts_per_symbol")) "Rectangular" 1 "default" 1.5) 0 (VAR("fsamp") / 2))) J 13  (dB),dB20(clip(dft((VT("/Out+") - VT("/Out-")) VAR("tstart") (VAR("tstart") + (VAR("M") / VAR("fsamp"))) (VAR("M") * VAR("pts_per_symbol")) "Rectangular" 1 "default" 1.5) 0 (VAR("fsamp") / 2))) J 1013  (dB)
35.74E6,-88.45,-78.43
35.94E6,-122.3,-134.6
36.13E6,-101.8,-94.50
36.33E6,-122.7,-130.0
36.52E6,-84.95,-79.86
36.72E6,-122.3,-131.1
36.91E6,-79.82,-91.87
37.11E6,-123.5,-128.8
37.30E6,-80.04,-82.70
37.50E6,-122.7,-131.7
37.70E6,-77.20,-80.23
37.89E6,-123.6,-129.9
38.09E6,-80.32,-82.61
38.28E6,-122.1,-131.6
38.48E6,-81.74,-79.19
38.67E6,-124.1,-131.2
38.87E6,-79.08,-69.69
39.06E6,-123.0,-126.3
39.26E6,-84.96,-89.11
39.45E6,-122.3,-135.2
39.65E6,-83.87,-81.78
39.84E6,-123.3,-128.3
40.04E6,-92.09,-84.09
40.23E6,-123.2,-132.2
40.43E6,-91.50,-93.42
40.63E6,-118.3,-137.7
40.82E6,-85.43,-82.89
41.02E6,-123.8,-133.5
41.21E6,-92.82,-90.16
41.41E6,-124.2,-130.6
41.60E6,-89.46,-80.08
41.80E6,-122.8,-135.7
41.99E6,-79.79,-78.55
42.19E6,-123.1,-131.4
42.38E6,-76.67,-86.14
42.58E6,-123.2,-128.4
42.77E6,-83.98,-71.92
42.97E6,-124.2,-114.7
43.16E6,-77.00,-95.35
43.36E6,-126.1,-139.5
43.55E6,-76.07,-79.42
43.75E6,-125.2,-135.7
43.95E6,-80.98,-82.75
44.14E6,-126.2,-132.8
44.34E6,-82.57,-78.90
44.53E6,-122.6,-132.8
44.73E6,-85.60,-93.12
44.92E6,-123.8,-129.7
45.12E6,-92.88,-84.16
45.31E6,-123.7,-131.7
45.51E6,-93.95,-99.39
45.70E6,-130.5,-135.7
45.90E6,-82.28,-80.45
46.09E6,-125.6,-130.9
46.29E6,-87.60,-80.84
46.48E6,-125.8,-129.8
46.68E6,-85.30,-80.17
46.88E6,-128.4,-132.1
47.07E6,-83.28,-80.67
47.27E6,-123.7,-117.9
47.46E6,-79.27,-68.45
47.66E6,-124.9,-127.3
47.85E6,-87.33,-83.75
48.05E6,-123.8,-130.0
48.24E6,-77.93,-76.88
48.44E6,-128.6,-132.3
48.63E6,-95.02,-85.78
48.83E6,-126.5,-129.8
49.02E6,-75.35,-86.88
49.22E6,-126.6,-131.5
49.41E6,-126.5,-80.62
49.61E6,-129.1,-130.9
49.80E6,-79.39,-97.35
50.00E6,-124.1,-131.3
50.20E6,-82.31,-82.63
50.39E6,-124.8,-134.2
50.59E6,-84.12,-81.33
50.78E6,-118.6,-135.0
50.98E6,-89.63,-83.37
51.17E6,-125.9,-150.2
51.37E6,-85.68,-68.65
51.56E6,-126.4,-110.0
51.76E6,-80.00,-78.95
51.95E6,-126.9,-128.9
52.15E6,-82.73,-72.92
52.34E6,-126.0,-133.4
52.54E6,-78.93,-79.01
52.73E6,-125.5,-132.4
52.93E6,-83.02,-78.17
53.13E6,-125.3,-134.3
53.32E6,-82.59,-78.88
53.52E6,-126.2,-135.2
53.71E6,-82.51,-92.11
53.91E6,-127.2,-128.3
54.10E6,-86.24,-82.33
54.30E6,-125.6,-130.6
54.49E6,-84.65,-79.94
54.69E6,-128.3,-129.1
54.88E6,-85.07,-85.69
55.08E6,-126.0,-125.7
55.27E6,-87.66,-81.79
55.47E6,-127.1,-130.9
55.66E6,-84.15,-79.27
55.86E6,-110.9,-112.9
56.05E6,-94.81,-81.82
56.25E6,-126.1,-134.3
56.45E6,-87.41,-76.73
56.64E6,-128.2,-125.7
56.84E6,-83.03,-96.44
57.03E6,-123.9,-132.3
57.23E6,-81.48,-83.10
57.42E6,-127.8,-129.4
57.62E6,-83.78,-84.76
57.81E6,-126.6,-130.0
58.01E6,-81.60,-81.99
58.20E6,-127.7,-135.7
58.40E6,-79.38,-90.91
58.59E6,-126.3,-132.4
58.79E6,-80.15,-83.57
58.98E6,-126.1,-130.5
59.18E6,-89.13,-86.37
59.38E6,-124.9,-168.6
59.57E6,-91.50,-81.36
59.77E6,-128.0,-127.1
59.96E6,-81.49,-74.33
60.16E6,-128.6,-117.0
60.35E6,-88.47,-77.18
60.55E6,-127.2,-126.4
60.74E6,-95.78,-79.26
60.94E6,-110.9,-144.4
61.13E6,-81.10,-82.60
61.33E6,-126.4,-130.7
61.52E6,-98.76,-83.15
61.72E6,-127.2,-131.5
61.91E6,-77.94,-92.01
62.11E6,-124.7,-135.9
62.30E6,-83.93,-82.92
62.50E6,-129.7,-131.6
62.70E6,-79.40,-83.36
62.89E6,-129.7,-139.0
63.09E6,-82.53,-78.27
63.28E6,-129.3,-136.9
63.48E6,-79.87,-84.54
63.67E6,-123.6,-128.6
63.87E6,-82.56,-79.39
64.06E6,-126.3,-130.1
64.26E6,-84.57,-86.46
64.45E6,-127.1,-119.3
64.65E6,-81.84,-78.24
64.84E6,-135.4,-140.3
65.04E6,-78.05,-81.58
65.23E6,-129.1,-128.3
65.43E6,-97.83,-78.80
65.63E6,-128.4,-129.6
65.82E6,-82.26,-80.75
66.02E6,-117.1,-132.1
66.21E6,-82.50,-77.17
66.41E6,-127.1,-129.1
66.60E6,-84.36,-88.49
66.80E6,-126.8,-129.9
66.99E6,-84.63,-90.85
67.19E6,-126.4,-128.4
67.38E6,-84.93,-82.52
67.58E6,-133.4,-128.0
67.77E6,-87.42,-76.88
67.97E6,-127.9,-135.7
68.16E6,-78.49,-81.43
68.36E6,-129.9,-131.6
68.55E6,-81.66,-81.08
68.75E6,-123.8,-122.3
68.95E6,-84.02,-69.77
69.14E6,-127.7,-121.5
69.34E6,-90.50,-84.69
69.53E6,-127.3,-131.5
69.73E6,-83.73,-93.75
69.92E6,-129.1,-133.1
70.12E6,-83.95,-80.64
70.31E6,-128.4,-130.0
70.51E6,-110.4,-79.53
70.70E6,-129.7,-132.2
70.90E6,-78.95,-85.59
71.09E6,-118.7,-133.0
71.29E6,-87.90,-92.59
71.48E6,-126.8,-128.8
71.68E6,-85.13,-83.55
71.88E6,-130.3,-134.1
72.07E6,-94.50,-83.07
72.27E6,-127.5,-131.5
72.46E6,-107.7,-78.69
72.66E6,-130.9,-127.5
72.85E6,-79.02,-86.92
73.05E6,-128.6,-125.9
73.24E6,-93.75,-87.16
73.44E6,-130.6,-130.5
73.63E6,-78.65,-82.64
73.83E6,-131.3,-133.1
74.02E6,-82.04,-84.96
74.22E6,-129.3,-129.3
74.41E6,-91.87,-88.08
74.61E6,-130.1,-136.2
74.80E6,-82.90,-76.79
75.00E6,-126.9,-130.4
75.20E6,-88.26,-91.04
75.39E6,-128.3,-132.1
75.59E6,-102.4,-86.19
75.78E6,-126.8,-133.1
75.98E6,-84.21,-89.56
76.17E6,-118.8,-131.4
76.37E6,-83.84,-84.33
76.56E6,-127.2,-126.1
76.76E6,-87.03,-84.58
76.95E6,-132.0,-136.3
77.15E6,-82.64,-78.12
77.34E6,-126.5,-114.6
77.54E6,-97.98,-67.19
77.73E6,-127.5,-130.3
77.93E6,-80.93,-79.13
78.13E6,-128.2,-128.5
78.32E6,-82.69,-82.41
78.52E6,-124.8,-131.1
78.71E6,-87.22,-83.64
78.91E6,-129.0,-128.8
79.10E6,-84.90,-77.32
79.30E6,-129.6,-130.8
79.49E6,-98.09,-84.75
79.69E6,-139.7,-137.2
79.88E6,-93.79,-88.79
80.08E6,-125.6,-130.6
80.27E6,-78.34,-77.99
80.47E6,-127.7,-131.2
80.66E6,-88.20,-80.95
80.86E6,-127.5,-136.2
81.05E6,-82.04,-87.19
81.25E6,-128.5,-127.6
81.45E6,-82.65,-77.81
81.64E6,-133.3,-114.4
81.84E6,-98.63,-81.19
82.03E6,-133.6,-120.5
82.23E6,-88.02,-78.50
82.42E6,-140.0,-143.2
82.62E6,-88.49,-82.99
82.81E6,-130.0,-130.5
83.01E6,-102.0,-79.08
83.20E6,-128.0,-131.4
83.40E6,-85.28,-76.94
83.59E6,-123.1,-131.6
83.79E6,-86.30,-95.18
83.98E6,-129.9,-129.0
84.18E6,-91.69,-84.10
84.38E6,-134.8,-132.6
84.57E6,-88.23,-87.17
84.77E6,-134.0,-132.1
84.96E6,-84.15,-85.28
85.16E6,-122.8,-129.6
85.35E6,-87.12,-90.10
85.55E6,-127.5,-131.3
85.74E6,-87.11,-85.32
85.94E6,-128.6,-125.0
86.13E6,-85.45,-68.21
86.33E6,-117.3,-138.8
86.52E6,-80.45,-81.33
86.72E6,-130.2,-124.6
86.91E6,-86.93,-85.12
87.11E6,-132.5,-131.5
87.30E6,-78.24,-85.80
