freq (Hz),dB20(clip(dft((VT("/Out+") - VT("/Out-")) VAR("tstart") (VAR("tstart") + (VAR("M") / VAR("fsamp"))) (VAR("M") * VAR("pts_per_symbol")) "Rectangular" 1 "default" 1.5) 0 (VAR("fsamp") / 2))) J 13  (dB),dB20(clip(dft((VT("/Out+") - VT("/Out-")) VAR("tstart") (VAR("tstart") + (VAR("M") / VAR("fsamp"))) (VAR("M") * VAR("pts_per_symbol")) "Rectangular" 1 "default" 1.5) 0 (VAR("fsamp") / 2))) J 1013  (dB)
35.74E6,-87.25,-81.79
35.94E6,-119.1,-107.9
36.13E6,-90.50,-83.73
36.33E6,-119.4,-108.3
36.52E6,-88.99,-87.38
36.72E6,-119.5,-108.7
36.91E6,-86.01,-87.13
37.11E6,-119.8,-107.9
37.30E6,-84.91,-87.35
37.50E6,-119.7,-108.4
37.70E6,-79.56,-81.13
37.89E6,-119.5,-108.7
38.09E6,-78.39,-92.14
38.28E6,-119.7,-108.2
38.48E6,-81.71,-82.68
38.67E6,-120.0,-109.2
38.87E6,-76.92,-71.98
39.06E6,-119.7,-108.4
39.26E6,-91.31,-88.10
39.45E6,-119.8,-108.2
39.65E6,-81.67,-87.72
39.84E6,-120.0,-107.9
40.04E6,-86.30,-83.54
40.23E6,-120.0,-109.1
40.43E6,-89.06,-93.41
40.63E6,-113.4,-107.9
40.82E6,-86.79,-98.65
41.02E6,-120.6,-108.4
41.21E6,-85.99,-84.69
41.41E6,-120.4,-109.0
41.60E6,-95.25,-81.09
41.80E6,-121.2,-108.3
41.99E6,-81.29,-81.80
42.19E6,-120.1,-108.3
42.38E6,-76.83,-83.31
42.58E6,-120.5,-109.5
42.77E6,-85.86,-79.54
42.97E6,-120.4,-108.4
43.16E6,-77.75,-85.98
43.36E6,-121.2,-107.8
43.55E6,-80.42,-84.10
43.75E6,-121.2,-108.7
43.95E6,-79.55,-92.01
44.14E6,-121.5,-108.0
44.34E6,-90.55,-76.76
44.53E6,-119.3,-108.3
44.73E6,-83.94,-87.46
44.92E6,-120.8,-108.9
45.12E6,-87.03,-85.53
45.31E6,-120.6,-108.4
45.51E6,-91.74,-92.65
45.70E6,-112.7,-108.3
45.90E6,-83.60,-84.32
46.09E6,-122.2,-109.1
46.29E6,-91.70,-94.16
46.48E6,-121.9,-108.0
46.68E6,-82.54,-81.82
46.88E6,-123.1,-108.7
47.07E6,-80.59,-79.14
47.27E6,-120.7,-103.6
47.46E6,-79.03,-72.30
47.66E6,-121.1,-108.7
47.85E6,-80.84,-92.30
48.05E6,-120.3,-108.4
48.24E6,-79.05,-75.56
48.44E6,-123.0,-109.4
48.63E6,-84.40,-82.14
48.83E6,-122.5,-108.5
49.02E6,-78.02,-85.14
49.22E6,-122.7,-108.5
49.41E6,-83.11,-91.52
49.61E6,-119.7,-109.3
49.80E6,-79.88,-105.2
50.00E6,-121.4,-108.3
50.20E6,-86.11,-84.06
50.39E6,-121.6,-108.1
50.59E6,-82.30,-95.09
50.78E6,-113.2,-108.8
50.98E6,-87.18,-87.15
51.17E6,-122.9,-107.1
51.37E6,-87.45,-73.14
51.56E6,-122.7,-102.5
51.76E6,-82.62,-83.29
51.95E6,-123.6,-110.4
52.15E6,-83.53,-76.90
52.34E6,-122.0,-109.3
52.54E6,-79.64,-79.56
52.73E6,-122.3,-108.7
52.93E6,-80.41,-77.83
53.13E6,-122.2,-109.6
53.32E6,-80.83,-80.71
53.52E6,-122.8,-108.5
53.71E6,-82.13,-90.74
53.91E6,-123.0,-108.5
54.10E6,-85.48,-84.37
54.30E6,-122.9,-109.0
54.49E6,-89.02,-77.37
54.69E6,-121.6,-108.6
54.88E6,-83.75,-82.66
55.08E6,-123.0,-107.5
55.27E6,-87.87,-87.34
55.47E6,-122.7,-109.1
55.66E6,-83.04,-84.53
55.86E6,-114.7,-106.4
56.05E6,-86.20,-80.90
56.25E6,-122.9,-108.2
56.45E6,-84.74,-79.92
56.64E6,-123.0,-109.9
56.84E6,-84.60,-90.84
57.03E6,-122.3,-108.3
57.23E6,-81.28,-86.03
57.42E6,-123.4,-108.4
57.62E6,-80.33,-85.70
57.81E6,-123.4,-108.8
58.01E6,-83.14,-84.78
58.20E6,-124.0,-108.7
58.40E6,-79.20,-93.86
58.59E6,-122.3,-107.9
58.79E6,-85.27,-84.63
58.98E6,-123.0,-109.6
59.18E6,-85.29,-80.40
59.38E6,-122.8,-107.8
59.57E6,-82.82,-82.82
59.77E6,-125.8,-109.6
59.96E6,-83.75,-79.34
60.16E6,-124.4,-106.2
60.35E6,-89.64,-79.52
60.55E6,-124.3,-107.6
60.74E6,-95.49,-83.87
60.94E6,-117.4,-108.6
61.13E6,-85.67,-78.80
61.33E6,-123.1,-109.0
61.52E6,-84.72,-87.37
61.72E6,-123.2,-108.8
61.91E6,-79.66,-94.08
62.11E6,-121.5,-107.9
62.30E6,-91.01,-104.9
62.50E6,-125.2,-109.4
62.70E6,-82.19,-86.80
62.89E6,-124.8,-108.9
63.09E6,-81.48,-77.85
63.28E6,-125.9,-108.6
63.48E6,-78.79,-84.28
63.67E6,-122.3,-109.0
63.87E6,-78.53,-78.90
64.06E6,-123.3,-109.6
64.26E6,-82.54,-92.06
64.45E6,-123.1,-106.5
64.65E6,-82.30,-79.95
64.84E6,-132.1,-107.5
65.04E6,-80.21,-85.41
65.23E6,-125.3,-109.3
65.43E6,-88.93,-82.62
65.63E6,-125.3,-108.2
65.82E6,-87.14,-79.57
66.02E6,-118.6,-109.5
66.21E6,-85.50,-81.14
66.41E6,-123.6,-108.9
66.60E6,-87.06,-88.53
66.80E6,-123.8,-108.7
66.99E6,-83.85,-86.47
67.19E6,-122.1,-109.4
67.38E6,-85.57,-80.70
67.58E6,-126.4,-109.3
67.77E6,-91.79,-79.46
67.97E6,-125.3,-108.6
68.16E6,-82.75,-84.68
68.36E6,-126.3,-109.3
68.55E6,-80.04,-84.51
68.75E6,-123.3,-111.1
68.95E6,-95.55,-74.05
69.14E6,-124.4,-107.5
69.34E6,-85.95,-92.61
69.53E6,-124.0,-109.0
69.73E6,-86.88,-94.77
69.92E6,-126.4,-108.8
70.12E6,-81.34,-83.14
70.31E6,-125.4,-108.2
70.51E6,-87.51,-80.76
70.70E6,-125.5,-109.1
70.90E6,-81.03,-92.45
71.09E6,-116.9,-109.2
71.29E6,-95.05,-94.12
71.48E6,-124.6,-108.2
71.68E6,-84.25,-82.36
71.88E6,-124.8,-109.2
72.07E6,-90.00,-84.11
72.27E6,-124.3,-108.5
72.46E6,-88.79,-79.71
72.66E6,-125.6,-108.2
72.85E6,-77.70,-89.44
73.05E6,-125.3,-107.8
73.24E6,-97.72,-89.60
73.44E6,-124.9,-109.5
73.63E6,-80.19,-78.89
73.83E6,-125.1,-108.4
74.02E6,-80.33,-82.86
74.22E6,-125.9,-109.0
74.41E6,-93.56,-85.94
